date,account_code,account_name,description,amount
2024-01-05,5010,Inventory Purchases,Cannabis flower wholesale purchase,45000.00
2024-01-10,5020,Growing Supplies,Nutrients and soil for cultivation,3500.00
2024-01-15,5030,Packaging Materials,Jars and labels for products,2800.00
2024-01-20,6010,Salaries and Wages,Employee salaries - January,28000.00
2024-01-22,6020,Rent Expense,Monthly facility rent,12000.00
2024-01-25,5015,Direct Labor,Cultivation staff wages,8500.00
2024-02-01,6030,Marketing and Advertising,Social media advertising,4200.00
2024-02-05,5025,Seeds and Clones,New plant genetics,1800.00
2024-02-10,6040,Utilities,Electricity and water,5600.00
2024-02-15,6050,Insurance,Business liability insurance,3200.00
2024-02-18,5040,Trim Labor,Harvest processing labor,4500.00
2024-02-20,6060,Professional Fees,Legal and accounting fees,6800.00
2024-02-25,6070,Office Supplies,Administrative supplies,850.00
2024-03-01,6080,Bank Fees,Monthly banking charges,120.00
2024-03-05,5050,Curing Supplies,Climate control for curing,1200.00
2024-03-10,6090,Software Subscriptions,Business software licenses,890.00
2024-03-15,5012,Wholesale Inventory,Bulk cannabis purchase,38000.00
2024-03-20,6100,Employee Benefits,Health insurance for staff,5400.00
2024-03-22,6110,Repairs and Maintenance,Facility maintenance,2100.00
2024-03-28,6120,Vehicle Expenses,Delivery vehicle costs,1600.00
2024-04-02,5060,Growing Medium,Hydroponic supplies,2400.00
2024-04-08,6130,Telecommunications,Phone and internet,450.00
2024-04-12,5070,Product Testing,Lab testing for compliance,3100.00
2024-04-18,6140,Administrative Labor,Office staff salaries,9200.00
2024-04-22,6150,Consulting Fees,Cannabis business consultant,4500.00
2024-04-28,5080,Packaging Equipment,Labeling machine,8900.00
2024-05-03,6160,Training and Education,Staff compliance training,1200.00
2024-05-10,5090,Cultivation Equipment,New grow lights,12500.00
2024-05-15,6170,Security Services,Facility security system,2800.00
2024-05-20,6180,Waste Disposal,Cannabis waste management,950.00
